id,neighbourhood,neighbourhood_group
1,Allerton,Bronx
2,Baychester,Bronx
3,Belmont,Bronx
4,Bronxdale,Bronx
5,Castle Hill,Bronx
6,City Island,Bronx
7,Claremont Village,Bronx
8,Clason Point,Bronx
9,Concourse,Bronx
10,Concourse Village,Bronx
11,Co-op City,Bronx
12,Country Club,Bronx
13,Eastchester,Bronx
14,East Morrisania,Bronx
15,Edenwald,Bronx
16,Fieldston,Bronx
17,Fordham,Bronx
18,Highbridge,Bronx
19,Hunts Point,Bronx
20,Kingsbridge,Bronx
21,Longwood,Bronx
22,Melrose,Bronx
23,Morrisania,Bronx
24,Morris Heights,Bronx
25,Morris Park,Bronx
26,Mott Haven,Bronx
27,Mount Eden,Bronx
28,Mount Hope,Bronx
29,North Riverdale,Bronx
30,Norwood,Bronx
31,Olinville,Bronx
32,Parkchester,Bronx
33,Pelham Bay,Bronx
34,Pelham Gardens,Bronx
35,Port Morris,Bronx
36,Riverdale,Bronx
37,Schuylerville,Bronx
38,Soundview,Bronx
39,Spuyten Duyvil,Bronx
40,Throgs Neck,Bronx
41,Tremont,Bronx
42,Unionport,Bronx
43,University Heights,Bronx
44,Van Nest,Bronx
45,Wakefield,Bronx
46,Westchester Square,Bronx
47,West Farms,Bronx
48,Williamsbridge,Bronx
49,Woodlawn,Bronx
50,Bath Beach,Brooklyn
51,Bay Ridge,Brooklyn
52,Bedford-Stuyvesant,Brooklyn
53,Bensonhurst,Brooklyn
54,Bergen Beach,Brooklyn
55,Boerum Hill,Brooklyn
56,Borough Park,Brooklyn
57,Brighton Beach,Brooklyn
58,Brooklyn Heights,Brooklyn
59,Brownsville,Brooklyn
60,Bushwick,Brooklyn
61,Canarsie,Brooklyn
62,Carroll Gardens,Brooklyn
63,Clinton Hill,Brooklyn
64,Cobble Hill,Brooklyn
65,Columbia St,Brooklyn
66,Coney Island,Brooklyn
67,Crown Heights,Brooklyn
68,Cypress Hills,Brooklyn
69,Downtown Brooklyn,Brooklyn
70,DUMBO,Brooklyn
71,Dyker Heights,Brooklyn
72,East Flatbush,Brooklyn
73,East New York,Brooklyn
74,Flatbush,Brooklyn
75,Flatlands,Brooklyn
76,Fort Greene,Brooklyn
77,Fort Hamilton,Brooklyn
78,Gerritsen Beach,Brooklyn
